;GROUP_SET;GROUP_VALUE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;NBA_FANTASY_PTS;DD2;TD3;GP_RANK;W_RANK;L_RANK;W_PCT_RANK;MIN_RANK;FGM_RANK;FGA_RANK;FG_PCT_RANK;FG3M_RANK;FG3A_RANK;FG3_PCT_RANK;FTM_RANK;FTA_RANK;FT_PCT_RANK;OREB_RANK;DREB_RANK;REB_RANK;AST_RANK;TOV_RANK;STL_RANK;BLK_RANK;BLKA_RANK;PF_RANK;PFD_RANK;PTS_RANK;PLUS_MINUS_RANK;NBA_FANTASY_PTS_RANK;DD2_RANK;TD3_RANK;CFID;CFPARAMS;;PERSON_ID;FIRST_NAME;LAST_NAME;DISPLAY_FIRST_LAST;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER
3;By Period;4;10;9;1;0.9;4.8;0.5;0.8;0.625;0;0;0;0.1;0.2;0.5;0.4;1.6;2;1.1;0.4;0.3;0.4;0;0.8;0.3;1.1;1.6;6.9;0;0;1;1;4;1;1;3;3;4;1;1;1;1;1;1;2;1;1;1;2;1;2;4;2;1;3;3;1;1;1;25;4;;1628398;Jordan;Bell;Jordan Bell;Bell, Jordan;J. Bell;1995-01-07T00:00:03;Oregon;USA;Oregon/USA;09-Sep;224;0;2;Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;jordan_bell;2017;2017;N;Y;2017;2;38
0;By Period;2;20;14;6;0.7;6;1.3;2;0.65;0.1;0.1;0.5;0.5;0.7;0.692;0.2;1.3;1.5;0.7;0.6;0.3;0.8;0.1;0.6;0.5;3.1;-0.2;8.5;0;0;1;1;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;1;2;1;1;2;1;2;2;1;1;1;25;2;;2561;David;West;David West;West, David;D. West;1980-08-29T00:00:00;Xavier;USA;Xavier (Ohio)/USA;06-Sep;250;14;3;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;david_west;2003;2017;N;Y;2003;1;18
1;By Period;4;20;14;6;0.7;5.9;1.6;2.4;0.681;0.1;0.2;0.5;0.2;0.2;1;0.7;1.2;1.8;0.8;0.5;0.4;0.4;0;0.8;0.4;3.5;2.1;8.5;0;0;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;2;1;1;2;1;2;2;1;2;1;1;2;1;1;25;4;;2562;David;West;David West;West, David;D. West;1980-08-29T00:00:01;Xavier;USA;Xavier (Ohio)/USA;07-Sep;250;14;3;Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;david_west;2003;2017;N;Y;2003;1;18
0;By Period;1;1;1;0;1;6.2;1;2;0.5;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;2;-2;6.2;0;0;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;25;1;;1626188;Quinn;Cook;Quinn Cook;Cook, Quinn;Q. Cook;1993-03-23T00:00:00;Duke;USA;Duke/USA;06-Feb;179;1;4;Guard;Active;1610612744;Warriors;GSW;warriors;Golden State;quinn_cook;2016;2017;Y;Y;Undrafted;Undrafted;Undrafted
1;By Period;4;3;2;1;0.667;4.2;0.7;1;0.667;0;0.3;0;0;0;0;0;0.3;0.3;1;0.3;0;0;0;1;0;1.3;0;2.9;0;0;1;1;1;2;2;2;2;1;1;2;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;1;2;1;1;25;4;;1626189;Quinn;Cook;Quinn Cook;Cook, Quinn;Q. Cook;1993-03-23T00:00:01;Duke;USA;Duke/USA;07-Feb;179;1;4;Guard;Active;1610612745;Warriors;GSW;warriors;Golden State;quinn_cook;2016;2017;Y;Y;Undrafted;Undrafted;Undrafted
0;By Period;1;4;1;3;0.25;2.5;0;0;0;0;0;0;0.3;0.5;0.5;0;0;0;0.3;0.5;0;0;0;1;0.3;0.3;-3.5;0.1;0;0;4;4;1;4;4;4;4;4;1;1;1;3;2;2;4;4;4;2;1;4;4;4;2;4;4;4;4;1;1;25;1;;1626172;Kevon;Looney;Kevon Looney;Looney, Kevon;K. Looney;1996-02-06T00:00:00;UCLA;USA;UCLA/USA;06-Sep;220;2;5;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;kevon_looney;2015;2017;Y;Y;2015;1;30
1;By Period;2;10;9;1;0.9;5.5;0.6;1;0.6;0;0;0;0.3;0.7;0.429;0.5;1.1;1.6;0.2;0.4;0;0.6;0.2;0.9;0.7;1.5;3.6;5.1;0;0;2;1;3;1;1;2;2;2;2;1;1;1;1;3;1;1;1;3;2;3;1;1;3;1;2;2;2;1;1;25;2;;1626173;Kevon;Looney;Kevon Looney;Looney, Kevon;K. Looney;1996-02-06T00:00:01;UCLA;USA;UCLA/USA;07-Sep;220;2;5;Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;kevon_looney;2015;2017;Y;Y;2015;1;30
2;By Period;3;10;9;1;0.9;3.9;0.6;1;0.6;0;0;0;0.1;0.4;0.25;0.5;0.9;1.4;0.3;0.1;0.2;0.5;0.1;1.1;0.3;1.3;3.6;5.4;0;0;2;1;3;1;3;3;3;2;2;1;1;4;4;4;2;2;2;1;4;2;2;3;1;3;3;1;1;1;1;25;3;;1626174;Kevon;Looney;Kevon Looney;Looney, Kevon;K. Looney;1996-02-06T00:00:02;UCLA;USA;UCLA/USA;08-Sep;220;2;5;Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;kevon_looney;2015;2017;Y;Y;2015;1;30
3;By Period;4;11;9;2;0.818;5.3;0.7;1.2;0.615;0;0;0;0.3;0.5;0.6;0.4;0.6;1;0.2;0.2;0.4;0.3;0.2;0.7;0.5;1.7;-1.4;4.9;0;0;1;1;2;3;2;1;1;1;2;1;1;2;3;1;3;3;3;4;3;1;3;2;4;2;1;3;3;1;1;25;4;;1626175;Kevon;Looney;Kevon Looney;Looney, Kevon;K. Looney;1996-02-06T00:00:03;UCLA;USA;UCLA/USA;09-Sep;220;2;5;Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;kevon_looney;2015;2017;Y;Y;2015;1;30
0;By Period;1;11;7;4;0.636;4.3;1.1;1.7;0.632;1;1.5;0.647;0.3;0.5;0.6;0;0.5;0.5;0.1;0.4;0.2;0;0;0.4;0.2;3.5;0.5;4.3;0;0;4;4;2;4;3;1;3;1;1;2;1;1;1;4;3;3;3;4;1;3;3;2;2;3;1;3;2;1;1;25;1;;201156;Nick;Young;Nick Young;Young, Nick;N. Young;1985-06-01T00:00:00;Southern California;USA;USC/USA;06-Jul;210;10;6;Guard-Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;nick_young;2007;2017;N;Y;2007;1;16
1;By Period;2;13;9;4;0.692;5;0.8;1.9;0.4;0.3;1.2;0.267;0.1;0.1;1;0.2;0.5;0.7;0.2;0;0;0.1;0;0.3;0.3;1.9;1.1;3.3;0;0;3;3;2;2;2;3;2;2;4;3;4;4;4;1;1;2;1;2;4;4;1;3;4;2;3;2;3;1;1;25;2;;201157;Nick;Young;Nick Young;Young, Nick;N. Young;1985-06-01T00:00:01;Southern California;USA;USC/USA;07-Jul;210;10;6;Guard-Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;nick_young;2007;2017;N;Y;2007;1;16
2;By Period;3;15;10;5;0.667;4.1;0.5;1.2;0.389;0.5;1.1;0.412;0.1;0.1;1;0;0.2;0.2;0.1;0.3;0.4;0;0.1;0.3;0.1;1.5;1.4;2.9;0;0;2;2;1;3;4;4;4;3;3;4;2;3;3;1;2;4;4;3;2;1;4;1;3;4;4;1;4;1;1;25;3;;201158;Nick;Young;Nick Young;Young, Nick;N. Young;1985-06-01T00:00:02;Southern California;USA;USC/USA;08-Jul;210;10;6;Guard-Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;nick_young;2007;2017;N;Y;2007;1;16
3;By Period;4;16;12;4;0.75;5.8;1.1;2.8;0.386;0.6;1.9;0.29;0.3;0.4;0.667;0;0.6;0.6;0.4;0.2;0.2;0.1;0;0.4;0.3;2.9;-1.1;4.9;0;0;1;1;2;1;1;2;1;4;2;1;3;2;2;3;3;1;2;1;3;2;2;3;1;1;2;4;1;1;1;25;4;;201159;Nick;Young;Nick Young;Young, Nick;N. Young;1985-06-01T00:00:03;Southern California;USA;USC/USA;09-Jul;210;10;6;Guard-Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;nick_young;2007;2017;N;Y;2007;1;16
0;By Period;1;19;14;5;0.737;5.3;0.5;1.2;0.435;0.1;0.5;0.222;0.2;0.4;0.429;0.3;0.2;0.5;0.5;0.2;0.2;0.2;0.1;0.1;0.4;1.3;-0.8;3.7;0;0;1;1;1;1;3;4;3;3;3;3;3;3;3;4;3;4;4;4;4;2;2;1;3;3;4;4;3;1;1;25;1;;2738;Andre;Iguodala;Andre Iguodala;Iguodala, Andre;A. Iguodala;1984-01-28T00:00:00;Arizona;USA;Arizona/USA;06-Jun;215;13;9;Guard-Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;andre_iguodala;2004;2017;N;Y;2004;1;9
1;By Period;2;19;14;5;0.737;7.7;0.8;1.5;0.517;0.1;0.3;0.333;0.2;0.3;0.6;0.3;0.8;1.1;1.3;0.2;0.2;0.1;0.1;0.6;0.4;1.8;0.8;5.6;0;0;1;1;1;1;2;1;1;2;4;4;2;4;4;3;2;2;2;1;2;1;3;2;1;2;1;3;1;1;1;25;2;;2739;Andre;Iguodala;Andre Iguodala;Iguodala, Andre;A. Iguodala;1984-01-28T00:00:01;Arizona;USA;Arizona/USA;07-Jun;215;13;9;Guard-Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;andre_iguodala;2004;2017;N;Y;2004;1;9
2;By Period;3;19;14;5;0.737;5.3;0.6;0.9;0.611;0.3;0.5;0.556;0.3;0.5;0.667;0.1;0.6;0.7;0.6;0.2;0.1;0;0.1;0.1;0.3;1.7;1.3;3.6;0;0;1;1;1;1;4;3;4;1;1;2;1;2;2;2;4;3;3;3;3;3;4;4;4;4;3;1;4;1;1;25;3;;2740;Andre;Iguodala;Andre Iguodala;Iguodala, Andre;A. Iguodala;1984-01-28T00:00:02;Arizona;USA;Arizona/USA;08-Jun;215;13;9;Guard-Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;andre_iguodala;2004;2017;N;Y;2004;1;9
3;By Period;4;17;12;5;0.706;7.9;0.6;1.4;0.417;0.1;0.7;0.167;0.5;0.6;0.818;0.4;1;1.4;0.6;0.2;0.1;0.4;0.1;0.4;0.5;1.8;1.1;5.3;0;0;4;4;1;4;1;2;2;4;2;1;4;1;1;1;1;1;1;2;1;4;1;3;2;1;2;2;2;1;1;25;4;;2741;Andre;Iguodala;Andre Iguodala;Iguodala, Andre;A. Iguodala;1984-01-28T00:00:03;Arizona;USA;Arizona/USA;09-Jun;215;13;9;Guard-Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;andre_iguodala;2004;2017;N;Y;2004;1;9
0;By Period;1;21;15;6;0.714;8.2;2.2;4.4;0.5;0.9;1.7;0.5;0.1;0.1;1;0.1;1;1.1;0.5;0.3;0.3;0.3;0.2;0.4;0.2;5.3;-0.9;8.9;1;0;1;1;1;1;3;1;2;2;3;4;2;3;3;1;2;2;2;4;4;1;1;1;4;3;1;4;1;1;1;25;1;;202691;Klay;Thompson;Klay Thompson;Thompson, Klay;K. Thompson;1990-02-08T00:00:00;Washington State;USA;Washington State/USA;06-Jul;215;6;11;Guard;Active;1610612744;Warriors;GSW;warriors;Golden State;klay_thompson;2011;2017;N;Y;2011;1;11
1;By Period;2;21;15;6;0.714;8.6;2;4.6;0.433;0.9;2;0.442;0.4;0.4;0.889;0.2;1.4;1.6;0.7;0.4;0.2;0.1;0.1;0.6;0.7;5.3;0.2;8.8;1;0;1;1;1;1;1;3;1;4;2;2;3;1;1;3;1;1;1;2;2;3;3;2;1;1;2;3;2;1;1;25;2;;202692;Klay;Thompson;Klay Thompson;Thompson, Klay;K. Thompson;1990-02-08T00:00:01;Washington State;USA;Washington State/USA;07-Jul;215;6;11;Guard;Active;1610612745;Warriors;GSW;warriors;Golden State;klay_thompson;2011;2017;N;Y;2011;1;11
2;By Period;3;21;15;6;0.714;8.1;2;3.6;0.573;1;1.8;0.579;0;0;0;0.1;0.8;1;0.8;0.6;0;0.1;0.1;0.5;0.1;5.1;4.8;7.2;1;0;1;1;1;1;4;2;4;1;1;3;1;4;4;4;3;3;3;1;1;4;4;3;2;4;3;1;4;1;1;25;3;;202693;Klay;Thompson;Klay Thompson;Thompson, Klay;K. Thompson;1990-02-08T00:00:02;Washington State;USA;Washington State/USA;08-Jul;215;6;11;Guard;Active;1610612746;Warriors;GSW;warriors;Golden State;klay_thompson;2011;2017;N;Y;2011;1;11
3;By Period;4;20;14;6;0.7;8.2;1.9;4;0.468;0.7;2.1;0.341;0.3;0.3;1;0.1;0.8;0.8;0.6;0.4;0.2;0.3;0.1;0.5;0.6;4.7;1.7;7.6;1;0;4;4;1;4;2;4;3;3;4;1;4;2;2;1;4;4;4;3;3;2;2;4;3;2;4;2;3;1;1;25;4;;202694;Klay;Thompson;Klay Thompson;Thompson, Klay;K. Thompson;1990-02-08T00:00:03;Washington State;USA;Washington State/USA;09-Jul;215;6;11;Guard;Active;1610612747;Warriors;GSW;warriors;Golden State;klay_thompson;2011;2017;N;Y;2011;1;11
0;By Period;1;7;5;2;0.714;6.8;1.3;2.9;0.45;0.1;0.3;0.5;0.3;0.4;0.667;0.1;1.1;1.3;0.7;0;0.1;0.6;0.3;0.1;0.6;3;0.4;7.8;0;0;4;4;4;2;1;1;1;4;3;1;3;3;3;4;3;3;3;1;4;2;1;1;4;2;1;3;1;1;1;25;1;;201956;Omri;Casspi;Omri Casspi;Casspi, Omri;O. Casspi;1988-06-22T00:00:00;Yavne, Israel;Israel;HapoelIsraelGalilIsraelElyon/Israel;06-Sep;225;8;18;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;omri_casspi;2009;2017;N;Y;2009;1;23
1;By Period;2;11;7;4;0.636;4;0.8;1.1;0.75;0.2;0.2;1;0.1;0.1;1;0.2;0.8;1;0;0.3;0;0.1;0;0.6;0.1;1.9;0.3;3.1;0;0;2;2;1;4;4;3;4;1;2;3;1;4;4;1;2;4;4;4;3;4;4;3;3;4;4;4;4;1;1;25;2;;201957;Omri;Casspi;Omri Casspi;Casspi, Omri;O. Casspi;1988-06-22T00:00:01;Yavne, Israel;Israel;HapoelIsraelGalilIsraelElyon/Israel;07-Sep;225;8;18;Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;omri_casspi;2009;2017;N;Y;2009;1;23
2;By Period;3;10;7;3;0.7;5.5;1.1;1.7;0.647;0;0.1;0;0.5;0.6;0.833;0;1.8;1.8;0.4;0.3;0.1;0.1;0;0.9;0.4;2.7;2.5;5.8;0;0;3;2;3;3;3;2;2;2;4;4;4;2;2;2;4;1;2;3;2;3;3;3;1;3;2;1;3;1;1;25;3;;201958;Omri;Casspi;Omri Casspi;Casspi, Omri;O. Casspi;1988-06-22T00:00:02;Yavne, Israel;Israel;HapoelIsraelGalilIsraelElyon/Israel;08-Sep;225;8;18;Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;omri_casspi;2009;2017;N;Y;2009;1;23
3;By Period;4;16;12;4;0.75;6.3;0.8;1.4;0.591;0.2;0.3;0.75;0.6;0.8;0.75;0.3;1.6;1.9;0.6;0.4;0.3;0.3;0.2;0.8;0.8;2.4;0.9;6.9;0;0;1;1;1;1;2;4;3;3;1;2;2;1;1;3;1;2;1;2;1;1;2;2;2;1;3;2;2;1;1;25;4;;201959;Omri;Casspi;Omri Casspi;Casspi, Omri;O. Casspi;1988-06-22T00:00:03;Yavne, Israel;Israel;HapoelIsraelGalilIsraelElyon/Israel;09-Sep;225;8;18;Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;omri_casspi;2009;2017;N;Y;2009;1;23
0;By Period;1;20;14;6;0.7;9.4;1;2.4;0.417;0.4;1.3;0.308;0.7;0.7;0.929;0.7;1.9;2.5;2.3;0.7;0.3;0.7;0.1;0.5;0.6;3.1;0.4;11.6;3;0;1;1;1;1;1;2;1;4;2;1;3;1;2;1;1;1;1;1;3;2;1;4;4;3;1;2;1;1;1;25;1;;203110;Draymond;Green;Draymond Green;Green, Draymond;D. Green;1990-03-04T00:00:00;Michigan State;USA;Michigan State/USA;06-Jul;230;5;23;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2017;N;Y;2012;2;35
1;By Period;2;20;14;6;0.7;7.4;0.8;1.7;0.471;0.2;0.8;0.267;0.5;0.7;0.643;0.2;1.7;1.8;1.6;1;0.2;0.3;0.1;0.9;0.5;2.3;0.1;7.4;3;0;1;1;1;1;4;4;4;2;4;4;4;4;3;4;3;3;3;3;1;4;2;3;2;4;4;3;3;1;1;25;2;;203110;Draymond;Green;Draymond Green;Green, Draymond;D. Green;1990-03-04T00:00:00;Michigan State;USA;Michigan State/USA;06-Jul;230;5;23;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2017;N;Y;2012;2;35
2;By Period;3;19;13;6;0.684;9.1;1.1;2.2;0.476;0.3;0.8;0.4;0.6;0.8;0.688;0.1;1.8;1.9;1.8;0.7;0.6;0.3;0.2;1.1;0.6;3;6.1;9.9;3;0;3;3;1;3;2;1;2;1;3;3;1;2;1;3;4;2;2;2;2;1;3;2;1;1;2;1;2;1;1;25;3;;203110;Draymond;Green;Draymond Green;Green, Draymond;D. Green;1990-03-04T00:00:00;Michigan State;USA;Michigan State/USA;06-Jul;230;5;23;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2017;N;Y;2012;2;35
3;By Period;4;15;10;5;0.667;7.7;0.8;1.9;0.429;0.4;1.1;0.353;0.5;0.5;0.875;0.3;1.1;1.4;1.5;0.5;0.3;0.2;0.2;0.9;0.6;2.5;-0.4;7.3;2;0;4;4;4;4;3;3;3;3;1;2;2;3;4;2;2;4;4;4;4;3;4;1;3;2;3;4;4;4;1;25;4;;203110;Draymond;Green;Draymond Green;Green, Draymond;D. Green;1990-03-04T00:00:00;Michigan State;USA;Michigan State/USA;06-Jul;230;5;23;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2017;N;Y;2012;2;35
0;By Period;1;21;15;6;0.714;7;0.7;1.6;0.455;0;0;0;0.2;0.3;0.714;0.6;2.1;2.7;0.7;0.8;0.4;0;0.3;0.6;0.3;1.7;0.3;6.5;0;0;1;1;1;2;1;2;3;2;1;1;1;4;4;3;2;1;1;2;1;1;2;1;2;4;3;3;2;1;1;25;1;;2585;Zaza;Pachulia;Zaza Pachulia;Pachulia, Zaza;Z. Pachulia;1984-02-10T00:00:00;Tbilisi, Georgia;Georgia;UlkersporGeorgia/Georgia;06-Nov;270;14;27;Center;Active;1610612744;Warriors;GSW;warriors;Golden State;zaza_pachulia;2003;2017;N;Y;2003;2;42
1;By Period;2;3;2;1;0.667;4.7;0;0.3;0;0;0;0;1.3;1.3;1;0;1.3;1.3;0.3;0.7;0.3;0;0;0.3;1;1.3;9.3;3.8;0;0;3;4;3;4;3;4;4;4;1;1;1;1;1;1;4;2;4;3;2;3;3;4;4;1;4;1;3;1;1;25;2;;2586;Zaza;Pachulia;Zaza Pachulia;Pachulia, Zaza;Z. Pachulia;1984-02-10T00:00:01;Tbilisi, Georgia;Georgia;UlkersporGeorgia/Georgia;07-Nov;270;14;27;Center;Active;1610612745;Warriors;GSW;warriors;Golden State;zaza_pachulia;2003;2017;N;Y;2003;2;42
